A;T;S;R;H;F;Q;P;D;L;X;W;C;V
6;143;0.44;3.3;0.041;25;6;3.31;0.9914;11.3;0.50;0.46;0.24;0.31
7;85;0.42;1.7;0.035;16;6;3.19;0.9911;11.8;0.17;0.12;0.4;0.14
7.2;195;0.47;13.3;0.056;68;5;3.01;0.9982;9.2;0.20;0.71;0.5;0.31
7.3;196;0.5;13.3;0.06;57;5;3.04;0.9982;9.2;0.13;0.79;0.48;0.32
5.9;87;0.51;5.7;0.046;21;5;3.22;0.9934;10.2;0.11;0.33;0.04;0.36
7.8;138;0.54;12.2;0.054;42;5;3.01;0.9984;8.8;0.13;0.10;0.32;0.24
7.4;131;0.34;6.85;0.059;31;5;3.29;0.9952;9.7;0.50;0.95;0.31;0.16
6.9;146;0.36;5;0.058;14;6;3.29;0.9952;9.1;0.10;0.54;0.28;0.19
6.4;158;0.36;1.6;0.092;40;6;3.21;0.9928;9.8;0.33;0.61;0.47;0.13
6.7;143;0.48;1.1;0.026;63;6;3.27;0.9912;11;1.00;0.80;0.36;0.19
7.4;126;0.42;7;0.033;29;5;3.14;0.994;10.5;0.50;0.05;0.23;0.39
6.5;203;0.54;7.6;0.038;48;7;3.45;0.9958;9.7;0.25;0.78;0.32;0.24
6.1;179;0.57;2.8;0.044;47;7;3.3;0.9924;10.9;0.11;0.48;0.56;0.3
6.1;184;0.57;2.7;0.046;46;6;3.31;0.9924;10.9;0.25;0.91;0.56;0.3
5.7;57;0.37;10.4;0.02;7;5;3.39;0.994;10.6;0.11;0.08;0.25;0.26
6.5;203;0.54;7.6;0.038;48;7;3.45;0.9958;9.7;0.10;0.37;0.32;0.24
6.5;241;0.57;13.1;0.038;59;5;3.23;0.9979;9;0.33;0.01;0.4;0.425
6.6;188;0.51;15.8;0.035;46;5;3.24;0.9982;9.2;0.25;0.78;0.27;0.24
6.8;203;0.52;8.1;0.034;55;5;3.19;0.9961;8.9;0.10;0.14;0.22;0.27
6.7;179;0.56;15.7;0.036;44;5;3.26;0.9979;9.6;0.25;0.17;0.31;0.27
8.2;121;0.38;1.2;0.027;36;6;3.12;0.992;10.7;0.17;0.59;0.4;0.23
7.1;155;0.44;10.5;0.045;49;5;3.16;0.9975;8.7;0.50;0.02;0.67;0.37
6.8;96;0.54;1.9;0.035;30;7;3.15;0.9917;10.8;0.11;0.48;0.36;0.19
8.1;79;0.52;1.9;0.029;18;6;3.23;0.9923;11.8;0.14;0.43;0.39;0.28
6.3;77;0.43;2.2;0.045;20;5;3.3;0.9927;10.2;0.11;0.17;0.34;0.31
7.1;155;0.44;10.5;0.045;49;5;3.16;0.9975;8.7;0.14;0.47;0.67;0.37
7.9;107;0.54;1.2;0.039;38;6;3.21;0.992;10.8;0.25;0.75;0.4;0.21
8.5;99;0.53;4.3;0.036;24;6;3.18;0.9947;9.7;0.17;0.81;0.41;0.21
8.1;87;0.54;2;0.037;19;6;3.12;0.9921;11.2;0.17;0.93;0.4;0.2
6.3;114;0.39;1.1;0.04;37;6;3;0.9905;10.9;0.11;0.84;0.37;0.255
5.6;168;0.37;1.4;0.044;53;6;3.28;0.9918;10.1;0.10;0.74;0.27;0.16
6.4;97;0.36;5.2;0.058;15;4;3.38;0.9951;9;0.20;0.84;0.14;0.595
6.3;80;0.58;4.6;0.034;19;7;3.38;0.9917;12;0.50;0.86;0.33;0.34
6.9;116;0.38;4.1;0.054;23;6;2.99;0.994;9.4;0.20;0.15;0.3;0.25
7.9;152;0.32;8;0.043;46;7;3.12;0.9934;11.5;0.50;0.88;0.38;0.22
7.6;135;0.43;10.2;0.055;58;6;3.14;0.9968;9.9;0.11;0.41;0.46;0.18
6.9;116;0.38;4.1;0.054;23;6;2.99;0.994;9.4;1.00;0.27;0.3;0.25
7.2;97;0.45;1.2;0.048;41;5;3.14;0.9919;10.4;0.11;0.17;0.41;0.18
8.2;76;0.84;7.5;0.049;12;6;3.06;0.9966;9.7;0.10;0.18;0.4;0.23
7.4;198;0.42;14;0.066;48;6;2.89;0.9979;8.9;0.13;0.36;0.42;0.24
7.4;198;0.42;14;0.066;48;6;2.89;0.9979;8.9;0.25;0.60;0.42;0.24
6.1;124;0.42;1.5;0.036;38;7;3.29;0.9898;12.4;0.14;0.89;0.24;0.32
5.2;119;0.33;1.4;0.036;43;8;3.36;0.9894;12.1;0.17;0.58;0.04;0.44
5.2;119;0.33;1.4;0.036;43;8;3.36;0.9894;12.1;0.10;0.04;0.04;0.44
6.1;124;0.42;1.5;0.036;38;7;3.29;0.9898;12.4;0.14;0.98;0.24;0.32
6.4;159;0.4;14.5;0.055;27;5;2.98;0.998;9.1;0.13;0.08;0.56;0.22
6.3;85;0.39;4.8;0.049;14;5;3.28;0.9932;10.6;0.50;0.84;0.3;0.36
7.4;198;0.42;14;0.066;48;6;2.89;0.9979;8.9;0.50;0.33;0.42;0.24
6.7;205;0.5;13.1;0.05;64;5;3.15;0.997;9.5;0.33;0.67;0.35;0.24
7;177;0.49;13;0.051;72;5;3.16;0.9972;9.8;0.33;0.51;0.36;0.23
8.4;197;0.59;8.7;0.048;39;6;3.14;0.9974;9.6;0.13;0.24;0.46;0.27
6.7;98;0.44;2.4;0.034;25;7;3.08;0.9896;12.6;0.33;0.11;0.18;0.46
7.5;151;0.54;8.95;0.055;20;5;3.08;0.9968;9.3;0.10;0.20;0.31;0.29
9.8;110;0.29;9.85;0.034;5;5;2.87;0.9958;10;0.33;0.72;0.48;0.42
7.1;133;0.54;1.5;0.066;29;6;3.12;0.9906;12.7;0.50;0.60;0.46;0.3
7.9;96;0.39;1.5;0.045;17;6;3.13;0.9917;11;1.00;0.38;0.45;0.19
7.6;100;0.39;0.8;0.037;4;4;3.03;0.9902;11.4;0.13;0.95;0.37;0.48
6.3;130;0.33;4.55;0.038;31;7;3.35;0.9918;11.5;0.25;0.51;0.43;0.22
7.5;173;0.64;17.7;0.051;33;5;3.09;0.999;10.2;0.10;0.55;0.31;0.27
6.9;151;0.27;7.5;0.04;50;6;3.11;0.9927;11.4;0.33;0.62;0.4;0.23
7.2;65;0.41;5.1;0.044;19;4;3.03;0.991;12.6;0.17;0.91;0.47;0.32
5.9;170;0.39;12.9;0.054;57;5;3.28;0.9972;9.4;0.33;0.83;0.3;0.23
6;108;0.35;1.2;0.06;9;4;3.11;0.9931;8.7;0.11;0.48;0.07;0.67
6.4;176;0.68;5.5;0.049;41;6;3.19;0.995;9.2;0.50;0.08;0.32;0.25
6.4;173;0.66;5.5;0.048;42;6;3.19;0.9951;9.3;0.20;0.20;0.31;0.33
7.1;183;0.43;1.2;0.053;61;5;3.09;0.9936;9.2;0.20;0.63;0.15;0.34
6.8;167;0.5;22;0.048;48;5;2.93;1.001;8.7;0.50;0.43;0.4;0.28
6.9;227;0.58;14;0.05;64;6;3.18;0.9979;9.6;0.25;0.09;0.4;0.27
6.8;226;0.63;11.9;0.043;64;5;3.02;0.997;9.3;0.10;0.10;0.56;0.26
6.8;230;0.63;11.9;0.043;66;5;3.02;0.9972;9.3;0.20;0.09;0.56;0.29
6.7;166;0.61;9.4;0.04;49;6;3.12;0.9954;9.9;0.10;0.42;0.41;0.24
5.9;119;0.5;4.2;0.038;42;5;3.15;0.9924;11;0.13;0.65;0.23;0.3
6.8;109;0.57;3.8;0.034;26;8;3.26;0.9906;12.7;0.33;0.11;0.35;0.53
6.5;210;0.54;8.5;0.047;54;4;3.09;0.9962;8.9;0.20;0.47;0.28;0.28
6.6;211;0.55;8.5;0.052;55;6;3.09;0.9962;8.9;0.17;0.36;0.28;0.28
6.8;167;0.5;22;0.048;48;5;2.93;1.001;8.7;0.50;0.24;0.4;0.28
6.8;123;0.37;8;0.045;28;6;3.02;0.9928;11.4;0.11;0.34;0.36;0.28
6.6;125;0.42;5.1;0.055;34;5;3.36;0.9942;9.6;0.10;0.57;0.34;0.15
6.4;181;0.41;3.6;0.2;75;5;3.02;0.9942;9.1;1.00;0.01;0.44;0.29
6.4;180;0.39;3.5;0.197;76;6;3.02;0.9942;9.1;0.33;0.87;0.45;0.3
6.4;183;0.38;3.6;0.197;75;5;3.01;0.9942;9.1;0.11;0.95;0.44;0.29
6.8;214;0.47;7.8;0.052;54;5;3.13;0.9961;8.9;1.00;0.22;0.24;0.26
7.1;204;0.49;13.1;0.05;52;5;3.1;0.998;8.8;0.10;0.63;0.24;0.32
6.8;214;0.47;7.8;0.052;54;5;3.13;0.9961;8.9;0.33;0.66;0.24;0.26
6.8;196;0.5;16.1;0.049;55;5;3.15;0.9984;9.3;0.25;0.32;0.26;0.27
7.1;204;0.49;13.1;0.05;52;5;3.1;0.998;8.8;0.17;0.73;0.24;0.32
6.9;236;0.5;13.2;0.05;53;5;3.2;0.9973;9.6;0.50;0.54;0.32;0.54
6.8;134;0.53;13.9;0.034;39;6;3.33;0.9949;12;0.14;0.30;0.34;0.26
5.8;114;0.5;2.3;0.053;36;4;3.28;0.9924;10.2;0.20;0.79;0.35;0.28
6.4;153;0.43;11.6;0.042;45;5;3.15;0.9972;8.8;0.13;0.92;0.5;0.21
7;126;0.34;8.3;0.045;38;5;3.21;0.9958;9.2;0.11;0.18;0.32;0.16
10.2;124;0.51;6.2;0.049;20;4;2.99;0.9968;9.9;0.33;0.46;0.88;0.44
6.8;77;0.74;2.2;0.04;15;5;3.32;0.9938;10.2;0.33;0.03;0.29;0.57
6.1;170;0.77;0.9;0.048;23;6;3.22;0.993;9.5;0.20;0.06;0.31;0.4
5.6;68;0.34;9.7;0.032;12;5;3.31;0.994;10.5;0.33;0.96;0.25;0.245
6.8;111;0.59;1.4;0.038;35;7;3.32;0.9918;11.2;0.20;0.83;0.38;0.18
7;126;0.34;8.3;0.045;38;5;3.21;0.9958;9.2;0.33;0.26;0.32;0.16
6.7;122;0.37;5.3;0.051;31;6;3.44;0.9944;9.7;0.25;0.02;0.29;0.13
6.2;105;0.44;1.4;0.03;35;7;3.3;0.9912;11.1;0.10;0.32;0.25;0.25
5.8;152;0.38;9.2;0.044;55;5;3.31;0.9961;9.4;0.50;0.86;0.24;0.26
7.5;164;0.33;7;0.036;45;5;3.03;0.9939;11;0.10;0.30;0.36;0.27
5.8;152;0.38;9.2;0.044;55;5;3.31;0.9961;9.4;0.13;0.58;0.24;0.26
5.7;167;0.44;17.5;0.044;60;5;3.31;0.9989;9.4;0.50;0.25;0.24;0.28
7.5;161;0.32;7;0.036;43;5;3.04;0.9938;11;0.14;0.46;0.36;0.23
7.5;164;0.33;7;0.036;45;5;3.03;0.9939;11;0.20;0.13;0.36;0.27
7.2;172;0.55;9.5;0.07;33;6;3;0.9971;9.1;0.50;0.39;0.21;0.685
6.2;105;0.44;1.4;0.03;35;7;3.3;0.9912;11.1;0.50;0.17;0.25;0.25
6.5;144;0.39;0.8;0.043;33;6;3.42;0.9936;9.1;0.14;0.24;0.3;0.19
6.3;140;0.54;1.8;0.046;31;6;3.39;0.9929;10.4;0.11;0.06;0.22;0.495
7.1;145;0.39;17.8;0.046;39;5;3.32;0.9998;8.7;0.11;0.21;0.41;0.24
6.4;200;0.5;2.4;0.048;41;6;3.5;0.9938;9.7;0.20;0.39;0.32;0.17
7.1;272;0.52;10.3;0.041;66;6;3.17;0.9969;9.1;0.11;0.03;0.32;0.25
6.4;200;0.5;2.4;0.048;41;6;3.5;0.9938;9.7;0.14;0.31;0.32;0.17
7.1;145;0.39;17.8;0.046;39;5;3.32;0.9998;8.7;0.17;0.31;0.41;0.24
6.8;142;0.46;9.7;0.062;26;4;3.37;0.9972;8.9;0.17;0.00;0.08;0.64
8.3;194;0.51;7.8;0.041;38;6;3.34;0.9976;9.6;0.13;0.48;0.4;0.28
8.2;208;0.51;7.8;0.039;49;6;3.31;0.9976;9.5;1.00;0.89;0.39;0.27
7.2;194;0.44;14.3;0.058;55;6;3.09;0.9979;9;0.14;0.56;0.38;0.23
7.2;194;0.44;14.3;0.058;55;6;3.09;0.9979;9;0.25;0.69;0.38;0.23
7.2;194;0.44;14.3;0.058;55;6;3.09;0.9979;9;0.20;0.95;0.38;0.23
7.2;194;0.44;14.3;0.058;55;6;3.09;0.9979;9;0.50;0.78;0.38;0.23
6.8;221;0.5;13.2;0.044;54;6;3.27;0.9972;9.6;1.00;0.49;0.32;0.52
7;120;0.41;1.4;0.037;40;7;3.34;0.9918;11.1;0.14;0.86;0.59;0.26
6.2;159;0.64;15.55;0.039;28;6;3.48;0.9982;9.6;0.10;0.61;0.21;0.25
7.3;197;0.46;13.7;0.05;49;5;3.2;0.9985;8.7;0.25;0.73;0.23;0.32
7.7;90;0.5;7.8;0.031;23;5;3.13;0.9944;10.4;1.00;0.75;0.26;0.31
7.1;100;0.38;2.4;0.026;23;7;3.15;0.9903;11.4;0.50;0.50;0.37;0.21
6.8;218.5;0.58;2.7;0.047;64.5;6;3.3;0.9934;9.7;0.33;0.96;0.34;0.24
6.9;142;0.46;11.2;0.043;40;5;3.14;0.9975;8.7;0.11;0.10;0.56;0.4
6.1;249.5;0.79;2;0.038;20;6;3.37;0.9923;11.3;0.11;0.63;0.36;0.18
6.8;139;0.61;2.1;0.03;26;7;3.16;0.99;12.6;0.50;0.99;0.27;0.21
5.8;77;0.36;1.4;0.031;12;7;3.25;0.9905;10.9;0.20;0.47;0.27;0.2
5.6;76;0.37;1.4;0.03;12;7;3.25;0.9905;10.9;0.25;0.01;0.26;0.19
6.1;119;0.45;10.4;0.037;18;5;3.38;0.996;10;0.10;0.98;0.14;0.41
5.9;199;0.7;4.6;0.053;40;4;3.72;0.9964;10;0.50;0.26;0.28;0.21
8.5;197;0.5;16.2;0.074;41;3;3.02;0.998;9.8;0.14;0.37;0.21;0.26
6.9;142;0.46;11.2;0.043;40;5;3.14;0.9975;8.7;0.25;0.88;0.56;0.4
5.8;109;0.43;3.5;0.029;5;3;3.53;0.9913;11.7;0.50;0.93;0.44;0.24
5.8;158;0.52;1.5;0.054;37;6;3.21;0.9932;9.3;0.25;0.70;0.39;0.24
6.7;147;0.58;1.1;0.04;45;8;3.32;0.9935;9.6;0.11;0.31;0.39;0.26
6.3;97;0.41;5.7;0.035;8;7;3.27;0.9927;11;0.10;0.17;0.3;0.35
6.3;97;0.41;5.7;0.035;8;7;3.27;0.9927;11;0.50;0.13;0.3;0.35
6.4;118;0.5;1.8;0.032;23;6;3.32;0.9912;11.8;0.13;0.51;0.39;0.23
5.8;75;0.34;0.9;0.037;3;4;3.28;0.9904;11.4;0.25;0.79;0.38;0.36
6.9;108;0.42;5.4;0.048;36;6;3.32;0.9939;10.2;0.11;0.19;0.35;0.115
6.9;156;0.47;19.45;0.043;36;5;2.93;0.9996;8.9;0.14;0.97;0.4;0.29
6.9;95;0.33;8.2;0.036;15;5;3.17;0.9944;10.2;0.33;0.36;0.4;0.28
7.2;231;0.59;13.6;0.045;66;6;3.08;0.9977;9.6;0.17;0.91;0.4;0.29
6.2;167;0.48;1.2;0.038;22;6;3.1;0.9912;10.6;0.13;0.32;0.35;0.24
6.9;156;0.47;19.45;0.043;36;5;2.93;0.9996;8.9;0.50;0.90;0.4;0.29
6.9;180;0.51;8.3;0.053;32;6;3.25;0.9965;9.2;0.14;0.72;0.26;0.32
5.3;149;0.57;6.9;0.043;34;5;3.34;0.9944;9.7;0.11;0.82;0.07;0.58
5.3;145;0.57;7.1;0.044;34;6;3.34;0.9945;9.7;0.17;0.80;0.07;0.585
5.4;147;0.57;7;0.045;36;6;3.34;0.9944;9.7;0.33;0.43;0.07;0.59
6.9;180;0.51;8.3;0.053;32;6;3.25;0.9965;9.2;0.13;0.32;0.26;0.32
5.2;147;0.58;7;0.044;33;5;3.33;0.9944;9.7;0.20;0.99;0.07;0.6
5.8;148;0.38;13.1;0.051;44;5;3.29;0.9972;9.3;0.17;0.03;0.26;0.25
6.6;123;0.38;5.1;0.057;30;5;3.24;0.9949;9;0.17;0.98;0.3;0.58
7;234;0.61;10.7;0.046;59;5;3.05;0.9966;9.5;0.17;0.22;0.54;0.29
6.6;169;0.57;8.9;0.046;51;6;3.14;0.9954;9.8;0.50;0.54;0.41;0.19
6.7;166;0.58;9.1;0.044;50;6;3.14;0.9954;9.8;0.20;0.04;0.41;0.2
